d15,wcf
0.855,0.8539
0.856,0.8549
0.857,0.8559
0.858,0.8569
0.859,0.8579
0.86,0.8589
0.861,0.8599
0.862,0.8609
0.863,0.8619
0.864,0.8629
0.865,0.8639
0.866,0.8649
0.867,0.8659
0.868,0.8669
0.869,0.8679
0.87,0.8689
0.871,0.8699
0.872,0.8709
0.873,0.8719
0.874,0.8729
0.875,0.8739
0.876,0.8749
0.877,0.8759
0.878,0.8769
0.879,0.8779
0.88,0.8789
0.881,0.8799
0.882,0.8809
0.883,0.8819
0.884,0.8829
0.885,0.8839
0.886,0.8849
0.887,0.8859
0.888,0.8869
0.889,0.8879
0.89,0.8889
0.891,0.8899
0.892,0.8909
0.893,0.8919
0.894,0.8929
0.895,0.8939
0.896,0.8949
0.897,0.8959
0.898,0.8969
0.899,0.8979
0.9,0.8989
0.901,0.8999
0.902,0.9009
0.903,0.9019
0.904,0.9029
0.905,0.9039
0.906,0.9049
0.907,0.9059
0.908,0.9069
0.909,0.9079
0.91,0.9089
0.911,0.9099
0.912,0.9109
0.913,0.9119
0.914,0.9129
0.915,0.9139
0.916,0.9149
0.917,0.9159
0.918,0.9169
0.919,0.9179
0.92,0.9189
0.921,0.9199
0.922,0.9209
0.923,0.9219
0.924,0.9229
0.925,0.9239
0.926,0.9249
0.927,0.9259
0.928,0.9269
0.929,0.9279
0.93,0.9289
0.931,0.9299
0.932,0.9309
0.933,0.9319
0.934,0.9329
0.935,0.9339
0.936,0.9349
0.937,0.9359
0.938,0.9369
0.939,0.9379
0.94,0.9389
0.941,0.9399
0.942,0.9409
0.943,0.9419
0.944,0.9429
0.945,0.9439
0.946,0.9349
0.947,0.9459
0.948,0.9469
0.949,0.9479
0.95,0.9489
0.951,0.9499
0.952,0.9509
0.953,0.9519
0.954,0.9529
0.955,0.9539
0.956,0.9549
0.957,0.9559
0.958,0.9569
0.959,0.9579
0.96,0.9589
0.961,0.9599
0.962,0.9609
0.963,0.9619
0.964,0.9629
0.965,0.9639
0.966,0.9649
0.967,0.9659
0.968,0.9669
0.969,0.9679
0.97,0.9689
0.971,0.9699
0.972,0.9709
0.973,0.9719
0.974,0.9729
0.975,0.9739
0.976,0.9749
0.977,0.9759
0.978,0.9769
0.979,0.9779
0.98,0.9789
0.981,0.9799
0.982,0.9809
0.983,0.9819
0.984,0.9829
0.985,0.9839
0.986,0.9849
0.987,0.9859
0.988,0.9869
0.989,0.9879
0.99,0.9889
0.991,0.9899
0.992,0.9909
0.993,0.9919
0.994,0.9929
0.995,0.9939
0.996,0.9949
0.997,0.9959
0.998,0.9969
0.999,0.9979
1,0.9989
1.001,0.9999
1.002,1.0009
1.003,1.0019
1.004,1.0029
1.005,1.0039
1.006,1.0049
1.007,1.0059
1.008,1.0069
1.009,1.0079
1.01,1.0089
1.011,1.0099
1.012,1.0109
1.013,1.0119
1.014,1.0129
1.015,1.0139
1.016,1.0149
1.017,1.0159
1.018,1.0169
1.019,1.0179
1.02,1.0189
1.021,1.0199
1.022,1.0209
1.023,1.0219
1.024,1.0229
1.025,1.0239
1.026,1.0249
1.027,1.0259
1.028,1.0269
1.029,1.0279
1.03,1.0289
1.031,1.0299
1.032,1.0309
1.033,1.0319
1.034,1.0329
1.035,1.0339
1.036,1.0349
1.037,1.0359
1.038,1.0369
1.039,1.0379
1.04,1.0389
1.041,1.0399
1.042,1.0409
1.043,1.0419
1.044,1.0429
1.045,1.0439
1.046,1.0449
1.047,1.0459
1.048,1.0469
1.049,1.0479
1.05,1.0489
1.051,1.0499
1.052,1.0509
1.053,1.0519
1.054,1.0529
1.055,1.0539
1.056,1.0549
1.057,1.0559
1.058,1.0569
1.059,1.0579
1.06,1.0589
1.061,1.0599
1.062,1.0609
1.063,1.0619
1.064,1.0629
1.065,1.0639
1.066,1.0649
1.067,1.0659
1.068,1.0669
1.069,1.0679
1.07,1.0689
1.071,1.0699
1.072,1.0709
1.073,1.0719
1.074,1.0729
1.075,1.0739
1.076,1.0749
1.077,1.0759
1.078,1.0769
1.079,1.0779
1.08,1.0789
1.081,1.0799
1.082,1.0809
1.083,1.0819
1.084,1.0829
1.085,1.0839
1.086,1.0849
1.087,1.0859
1.088,1.0869
1.089,1.0879
1.09,1.0889
1.091,1.0899
1.092,1.0909
1.093,1.0919
1.094,1.0929
1.095,1.0939
1.096,1.0949
1.097,1.0959
1.098,1.0969
1.099,1.0979
1.1,1.0989
